post_id,author_username,searched_author,created_at,created_at_date,text,contains_exact_phrase,like_count,retweet_count,reply_count,quote_count,impression_count,is_retweet,retweeted_tweet_id,quoted_tweet_id,reply_to_tweet_id,urls,post_url
1213090343794696192,NPR,NPR,2020-01-03T13:30:50+00:00,,"Despite his openness about having a son on the autism spectrum, some advocates say Andrew Yang's policy proposals meant to help people on the autism spectrum and with disabilities lack heft and specificity. https://t.co/AxuB6kL7Yp",True,47,14,8,1,0,False,,,,[],https://x.com/NPR/status/1213090343794696192
1214248039273156608,SpectrumNews1OH,SpectrumNews1OH,2020-01-06T18:11:06+00:00,,"Harrison was born with Down syndrome and was diagnosed with autism at 4. Along with his fashion sense, his special needs are the inspiration behind the family's business. The online store sells ties, pocket squares and dress socks for youth and adults.https://t.co/b6Hvd8zHDS",True,0,0,0,0,0,False,,,,[],https://x.com/SpectrumNews1OH/status/1214248039273156608
1214496513201754114,BBCWorld,BBCWorld,2020-01-07T10:38:27+00:00,,"13-year-old Markus has sold his 'amazing' artwork at auction for as much as $75,000\n\nThe Russian teenager was diagnosed with epilepsy and autism as a baby and his mother was told to put him into a children's home but she refused\n\nhttps://t.co/r0bwH3jg8e https://t.co/qjcTC1gaXa",True,1258,335,38,39,0,False,,,,[],https://x.com/BBCWorld/status/1214496513201754114
1216500227688894464,DrPhil,DrPhil,2020-01-12T23:20:30+00:00,,"Tennis with Ken Solomon, CEO Tennis Channel, Richard Spurling, founder ACEing Autism, and Greg Meidel, Television Exec Extraordinaire Queen Bee Productions. https://t.co/aBbV6zGrLS",True,243,12,15,6,0,False,,,,[],https://x.com/DrPhil/status/1216500227688894464
1216792665498488834,BioLayne,BioLayne,2020-01-13T18:42:33+00:00,,Woke up today to a post sent to me from @KelechiOpara instagram claiming his probiotic supplement can prevent autism. Sometimes I hate the fucking human race and I hate this fucking industry.,True,181,7,10,1,0,False,,,,[],https://x.com/BioLayne/status/1216792665498488834
1220782835382083585,ESPNPR,ESPNPR,2020-01-24T18:58:03+00:00,,"Tonight on #NBACountdown, @wojespn narrates @utahjazz forward @Joeingles7's experience as a father of a child with autism and his efforts to support families with similar experiences\n\n7 p.m. ET | ESPN https://t.co/LgGnBNEgGw",True,797,129,4,29,0,False,,,,[],https://x.com/ESPNPR/status/1220782835382083585
1223333578790129665,ScottPresler,ScottPresler,2020-01-31T19:53:48+00:00,,"A police officer in El Paso gave me a challenge coin in honor of his son, who has autism &amp; down syndrome. \n\nSir, I want you to know that I will treasure this for the rest of my life.\n\nThank you for your service. https://t.co/sCDtgqy3M9",True,1416,287,62,11,0,False,,,,[],https://x.com/ScottPresler/status/1223333578790129665
1224485539069464576,AlexisMcAdamsTV,AlexisMcAdamsTV,2020-02-04T00:11:17+00:00,,Family sues Berwyn School District over repeated abuse and neglect allegations surrounding 8-year-old boy with autism. @ABC7Chicago https://t.co/iKIXqY3oxx,True,3,1,1,0,0,False,,,,[],https://x.com/AlexisMcAdamsTV/status/1224485539069464576
1224900170070085634,MIGOP,MIGOP,2020-02-05T03:38:52+00:00,,"Governor @gretchenwhitmer cut funding for students, rural healthcare, public safety, and people with Autism in an attempt to get her 45 cent gas tax.",True,74,31,14,4,0,False,,,,[],https://x.com/MIGOP/status/1224900170070085634
1237047275035254788,HotepJesus,HotepJesus,2020-03-09T16:07:08+00:00,,@TheTeeta https://t.co/pH6nUNiCPI,False,18,9,1,2,0,False,,,,[],https://x.com/HotepJesus/status/1237047275035254788
